Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Pch_Haswell,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15
2024-04-17_18:53:24,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.5,865.6,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1081.8,800.0,4.6,1.5,6.4,2.0,4.4,17.7,2.0,7.8,1.5,9.4,0.5,0.0,9.9,0.5,3.9,2.5,3.4
2024-04-17_18:53:26,45.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,43.9,43.9,68.5,827.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1237.4,800.0,2.9,13.8,3.0,0.5,0.5,5.9,6.4,1.0,0.0,1.0,1.5,1.5,1.5,1.0,3.4,3.9,1.0
2024-04-17_18:53:28,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,818.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1098.9,800.0,1.3,1.0,1.0,0.5,1.5,4.9,1.0,2.0,0.0,1.0,0.0,0.0,1.5,1.5,0.5,2.5,0.0
2024-04-17_18:53:30,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,43.9,43.9,68.5,881.9,1209.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1700.0,800.0,2.8,2.5,2.0,1.0,0.0,3.0,9.8,2.4,2.0,1.0,2.0,1.0,1.5,14.7,0.5,2.5,0.5
2024-04-17_18:53:32,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,800.9,815.1,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.0,3.9,0.0,0.0,1.0,4.4,0.5,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.5,0.0,1.0
2024-04-17_18:53:34,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,804.9,879.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.0,3.4,1.5,1.0,1.5,4.4,1.0,1.0,1.0,0.5,0.0,0.5,0.5,11.9,0.5,0.5,2.0
2024-04-17_18:53:36,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,879.8,881.4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1995.3,800.0,800.0,800.0,2.6,3.4,1.5,1.0,1.0,7.3,5.9,2.4,3.0,0.0,0.5,0.0,2.0,12.9,0.5,0.0,0.5
2024-04-17_18:53:38,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,1020.3,824.6,800.0,1700.0,800.0,1600.0,800.0,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,1700.0,800.0,800.0,1.2,3.0,0.5,0.5,0.5,0.5,1.0,1.5,4.4,0.5,0.5,1.5,2.0,0.5,0.5,0.0,1.0
2024-04-17_18:53:40,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,804.4,870.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.5,3.9,1.0,0.0,0.5,0.5,1.0,11.9,4.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,1.0
2024-04-17_18:53:42,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,809.6,953.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.0,3.0,1.0,1.0,1.0,1.0,4.9,1.0,5.9,0.5,0.5,1.0,0.5,1.9,6.4,0.5,1.5
2024-04-17_18:53:44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,807.3,917.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.7,2.5,0.0,1.0,0.5,0.0,0.5,13.3,4.9,0.5,0.0,0.5,1.0,0.0,1.5,0.0,1.0
2024-04-17_18:53:46,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,810.7,971.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,0.8,3.5,0.0,0.0,0.5,0.5,1.0,0.0,4.0,1.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
2024-04-17_18:53:48,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,893.6,898.3,800.0,800.0,800.0,800.0,800.0,800.0,2200.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2.8,3.4,0.5,2.0,1.0,1.5,0.5,1.5,15.2,0.0,1.0,0.0,2.4,3.5,1.5,8.9,2.0
2024-04-17_18:53:50,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,928.8,2600.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1060.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,0.9,1.5,0.5,0.0,0.0,0.5,0.5,0.5,4.4,0.5,0.0,1.0,0.5,0.5,0.0,3.4,0.5
2024-04-17_18:53:52,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,951.5,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1100.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,946.4,1.7,0.0,0.0,0.5,0.5,12.1,1.0,1.0,4.9,2.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5
2024-04-17_18:53:54,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,837.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1100.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1102.8,1.7,2.0,1.0,0.0,1.0,1.0,1.5,0.0,5.4,1.0,2.0,0.5,0.5,0.5,1.5,7.1,3.0
2024-04-17_18:53:56,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,866.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1567.2,2.1,1.0,0.5,0.5,0.5,1.0,1.5,12.4,4.5,1.0,0.5,1.5,2.9,1.5,0.0,1.0,3.4
2024-04-17_18:53:58,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,830.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1184.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,900.2,1.2,1.0,1.9,0.5,0.0,0.0,1.5,1.0,4.9,0.0,0.0,1.0,1.0,0.0,2.0,0.5,3.9
2024-04-17_18:54:00,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,949.8,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2600.0,800.0,800.0,800.0,800.0,800.0,800.0,1396.7,14.0,9.8,28.6,12.7,10.8,9.8,8.3,25.1,11.3,31.5,4.4,10.9,7.4,17.1,5.4,11.4,20.3
2024-04-17_18:54:02,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,910.2,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,1663.4,1.4,1.0,0.0,1.0,1.5,2.0,1.5,1.5,4.0,2.5,1.5,1.5,0.5,0.5,0.0,0.5,3.0
2024-04-17_18:54:05,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,851.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1271.5,1.7,0.0,0.0,0.0,0.0,0.5,0.5,12.3,4.4,0.0,0.5,2.0,1.5,0.5,0.0,0.5,2.9
2024-04-17_18:54:07,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,877.2,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1135.4,6.1,7.4,4.4,1.0,3.5,8.4,4.4,5.4,7.4,4.5,3.9,8.4,5.3,6.4,6.9,8.9,11.8
2024-04-17_18:54:09,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,68.0,825.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1200.7,1.9,0.5,0.5,1.0,2.4,0.5,0.5,12.8,3.9,1.0,0.5,0.5,0.5,1.0,0.0,2.9,2.9
2024-04-17_18:54:11,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,43.9,43.9,68.0,1193.2,1700.0,1700.0,2000.0,1700.0,800.0,1700.0,800.0,800.0,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,1391.3,1.1,1.0,0.0,0.5,0.5,0.0,1.0,0.5,3.9,0.5,0.5,5.9,0.5,1.0,0.0,1.0,2.0
2024-04-17_18:54:13,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,43.9,43.9,68.0,804.1,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,865.1,2.8,9.4,1.0,2.4,0.5,2.4,1.0,5.0,5.9,0.5,1.0,0.0,1.0,0.5,0.0,2.5,12.3
2024-04-17_18:54:15,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,823.9,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1183.2,0.9,0.0,0.0,0.5,0.0,0.0,0.5,0.5,4.4,0.0,1.0,0.5,0.5,0.5,1.0,0.0,3.4
2024-04-17_18:54:17,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,826.6,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1224.8,1.6,11.9,0.0,0.0,1.0,0.0,0.5,1.0,4.9,0.0,0.0,1.5,1.0,1.0,0.0,1.5,2.5
2024-04-17_18:54:19,44.0,44.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,43.9,43.9,67.5,834.4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1350.3,1.8,1.5,0.0,0.5,0.5,1.5,4.4,0.0,4.4,1.5,1.5,3.5,1.5,0.5,0.5,2.5,4.4
2024-04-17_18:54:21,44.0,44.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,43.9,43.9,67.5,817.7,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1083.0,1.5,11.4,0.0,0.0,0.0,0.5,0.5,0.5,4.4,0.5,1.0,1.0,0.0,0.5,0.0,0.0,3.0
2024-04-17_18:54:23,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,816.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1056.7,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,4.9,1.0,0.5,0.5,0.0,0.5,0.0,2.4,2.5
2024-04-17_18:54:25,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,828.4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1255.1,2.8,2.0,0.0,2.0,0.5,1.5,5.4,12.3,5.9,1.5,0.5,7.5,1.0,0.5,1.5,1.5,2.5
2024-04-17_18:54:27,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,43.9,43.9,67.5,799.9,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1700.0,800.0,800.0,800.0,800.0,800.0,990.1,798.2,1.4,0.5,0.5,0.5,1.0,2.5,1.0,1.5,4.9,0.0,1.0,0.5,1.0,1.5,0.5,2.4,3.9
2024-04-17_18:54:29,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,823.4,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1163.0,1.9,0.5,0.5,1.0,0.5,11.6,1.5,0.5,5.3,0.5,0.5,1.9,1.0,1.0,1.0,1.0,2.5
2024-04-17_18:54:31,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,800.2,1270.5,800.0,800.0,800.0,800.0,1700.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1700.0,798.1,1.7,2.4,0.5,5.9,1.9,0.5,2.9,0.5,4.4,0.0,0.0,3.4,0.5,0.5,0.0,1.0,2.9
2024-04-17_18:54:33,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,850.6,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1609.5,2.1,0.5,0.5,1.0,2.0,12.3,1.5,1.5,4.4,0.5,0.5,1.0,0.0,1.5,0.5,1.5,3.4
2024-04-17_18:54:35,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,854.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1534.6,0.7,0.0,0.0,1.0,0.5,0.0,0.0,1.0,4.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.5
2024-04-17_18:54:37,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,968.6,800.0,800.0,800.0,800.0,1197.9,800.0,800.0,1300.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,2600.0,2.8,12.3,0.5,5.9,1.5,1.5,3.0,1.0,7.9,0.0,0.5,0.5,1.5,2.0,2.0,1.0,2.0
2024-04-17_18:54:39,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,816.4,800.0,800.0,800.0,800.0,1063.6,800.0,800.0,798.1,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.3,6.3,0.0,0.0,1.0,3.4,1.0,1.0,5.4,0.5,0.5,1.0,1.5,1.0,0.0,0.5,0.0
2024-04-17_18:54:41,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,807.0,800.0,800.0,800.0,800.0,912.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1.0,7.4,0.0,1.0,1.0,2.5,0.0,0.5,2.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0
2024-04-17_18:54:43,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,43.9,43.9,67.5,976.3,800.0,800.0,800.0,800.0,1995.3,800.0,800.0,800.0,800.0,800.0,800.0,800.0,1995.3,800.0,800.0,800.0,2.5,1.5,1.0,8.0,1.0,4.0,0.5,0.5,6.4,1.0,0.5,0.5,0.0,10.4,1.5,2.4,0.5
